source,target,weight
BK35,QN68,112
BK35,QN70,56
BK35,QN72,6
BK37,BK37,48697
BK37,BK38,20929
BK37,BK60,2557
BK37,BK61,5353
BK37,BK63,1203
BK37,BK64,14559
BK37,BK68,11277
BK37,BK69,5258
BK37,BK72,81
BK37,BK73,2109
BK37,BK75,2652
BK37,BK76,414
BK37,BK78,189
BK37,BK90,496
BK37,MN03,1
BK37,MN09,2
BK37,MN11,2
BK37,MN12,10
BK37,MN13,1181
BK37,MN14,23
BK37,MN15,149
BK37,MN17,431
BK37,MN19,107
BK37,MN20,454
BK37,MN21,164
BK37,MN22,540
BK37,MN23,967
BK37,MN24,2452
BK37,MN25,1598
BK37,MN27,1351
BK37,MN28,327
BK37,MN31,27
BK37,MN32,6
BK37,MN33,2
BK37,MN40,14
BK37,MN50,168
BK37,QN31,97
BK37,QN68,11
BK37,QN70,26
BK37,QN71,3
BK37,QN72,12
BK38,BK38,30697
BK38,BK60,676
BK38,BK61,3063
BK38,BK63,355
BK38,BK64,5533
BK38,BK68,25548
BK38,BK69,9441
BK38,BK72,276
BK38,BK73,8261
BK38,BK75,4528
BK38,BK76,1444
BK38,BK78,405
BK38,BK90,1590
BK38,MN03,6
BK38,MN09,13
BK38,MN11,16
BK38,MN12,56
BK38,MN13,2871
BK38,MN14,111
BK38,MN15,320
BK38,MN17,1353
BK38,MN19,732
BK38,MN20,1734
BK38,MN21,641
BK38,MN22,2478
BK38,MN23,2951
BK38,MN24,13873
BK38,MN25,6264
BK38,MN27,7575
BK38,MN28,1591
BK38,MN31,151
BK38,MN32,32
BK38,MN33,8
BK38,MN34,6
BK38,MN40,65
BK38,MN50,324
BK38,QN31,352
BK38,QN68,80
BK38,QN70,89
BK38,QN71,45
BK38,QN72,11
BK60,BK60,848
BK60,BK61,990
BK60,BK63,553
BK60,BK64,816
BK60,BK68,508
BK60,BK69,469
BK60,BK72,15
BK60,BK73,358
BK60,BK75,488
BK60,BK76,70
BK60,BK78,26
BK60,BK90,94
BK60,MN03,2
BK60,MN09,1
BK60,MN11,2
BK60,MN12,1
BK60,MN13,18
BK60,MN17,21
BK60,MN19,2
BK60,MN20,7
BK60,MN21,8
BK60,MN22,50
BK60,MN23,91
BK60,MN24,186
BK60,MN25,81
BK60,MN27,104
BK60,MN28,50
BK60,MN31,2
BK60,MN50,1
BK60,QN31,25
BK60,QN68,2
BK60,QN70,3
BK60,QN72,2
BK61,BK61,3844
BK61,BK63,1079
BK61,BK64,4321
BK61,BK68,2547
BK61,BK69,3294
BK61,BK72,84
BK61,BK73,1710
BK61,BK75,3856
BK61,BK76,460
BK61,BK78,190
BK61,BK90,478
BK61,MN11,2
BK61,MN12,12
BK61,MN13,191
BK61,MN14,8
BK61,MN15,6
BK61,MN17,34
BK61,MN19,80
BK61,MN20,72
BK61,MN21,29
BK61,MN22,236
BK61,MN23,218
BK61,MN24,528
BK61,MN25,332
BK61,MN27,371
BK61,MN28,86
BK61,MN31,4
BK61,MN32,1
BK61,MN40,1
BK61,MN50,9
BK61,QN31,65
BK61,QN68,24
BK61,QN70,16
BK61,QN71,1
BK61,QN72,2
BK63,BK63,198
BK63,BK64,662
BK63,BK68,279
BK63,BK69,282
BK63,BK72,14
BK63,BK73,236
BK63,BK75,398
BK63,BK76,34
BK63,BK78,42
BK63,BK90,62
BK63,MN11,1
BK63,MN13,7
BK63,MN15,5
BK63,MN17,8
BK63,MN19,3
BK63,MN20,7
BK63,MN21,5
BK63,MN22,6
BK63,MN23,30
BK63,MN24,62
BK63,MN25,44
BK63,MN27,66
BK63,MN28,8
BK63,MN31,1
BK63,MN32,2
BK63,QN31,4
BK63,QN70,1
BK63,QN72,2
BK64,BK64,4131
BK64,BK68,5283
BK64,BK69,4220
BK64,BK72,70
BK64,BK73,1520
BK64,BK75,1902
BK64,BK76,326
BK64,BK78,107
BK64,BK90,243
BK64,MN11,1
BK64,MN12,6
BK64,MN13,251
BK64,MN14,3
BK64,MN15,13
BK64,MN17,164
BK64,MN19,72
BK64,MN20,110
BK64,MN21,33
BK64,MN22,194
BK64,MN23,277
BK64,MN24,1007
BK64,MN25,404
BK64,MN27,463
BK64,MN28,99
BK64,MN31,5
BK64,MN32,2
BK64,MN34,1
BK64,MN40,9
BK64,MN50,22
BK64,QN31,66
BK64,QN68,32
BK64,QN70,6
BK64,QN71,1
BK64,QN72,2
BK68,BK68,22869
BK68,BK69,19571
BK68,BK72,429
BK68,BK73,6259
BK68,BK75,6527
BK68,BK76,1343
BK68,BK78,422
BK68,BK90,1216
BK68,MN03,2
BK68,MN09,9
BK68,MN11,3
BK68,MN12,27
BK68,MN13,948
BK68,MN14,25
BK68,MN15,47
BK68,MN17,360
BK68,MN19,158
BK68,MN20,528
BK68,MN21,238
BK68,MN22,659
BK68,MN23,1059
BK68,MN24,2274
BK68,MN25,1398
BK68,MN27,2396
BK68,MN28,521
BK68,MN31,43
BK68,MN32,14
BK68,MN33,2
BK68,MN34,1
BK68,MN40,26
BK68,MN50,104
BK68,QN31,275
BK68,QN68,36
BK68,QN70,52
BK68,QN71,12
BK68,QN72,2
BK69,BK69,7127
BK69,BK72,258
BK69,BK73,4776
BK69,BK75,7729
BK69,BK76,881
BK69,BK78,389
BK69,BK90,992
BK69,MN09,1
BK69,MN12,10
BK69,MN13,609
BK69,MN14,7
BK69,MN15,30
BK69,MN17,251
BK69,MN19,155
BK69,MN20,216
BK69,MN21,131
BK69,MN22,406
BK69,MN23,706
BK69,MN24,1300
BK69,MN25,630
BK69,MN27,921
BK69,MN28,238
BK69,MN31,16
BK69,MN32,6
BK69,MN34,1
BK69,MN40,29
BK69,MN50,38
BK69,QN31,232
BK69,QN68,32
BK69,QN70,28
BK69,QN71,4
BK69,QN72,5
BK72,BK72,76
BK72,BK73,1198
BK72,BK75,912
BK72,BK76,194
BK72,BK78,116
BK72,BK90,953
BK72,MN09,1
BK72,MN11,2
BK72,MN12,2
BK72,MN13,48
BK72,MN14,2
BK72,MN15,4
BK72,MN17,26
BK72,MN19,9
BK72,MN20,40
BK72,MN21,3
BK72,MN22,42
BK72,MN23,40
BK72,MN24,64
BK72,MN25,26
BK72,MN27,69
BK72,MN28,44
BK72,MN32,1
BK72,MN34,1
BK72,MN50,8
BK72,QN31,14
BK72,QN68,4
BK72,QN70,2
BK72,QN71,3
BK73,BK73,51867
BK73,BK75,6303
BK73,BK76,36632
BK73,BK78,2018
BK73,BK90,23675
BK73,MN03,4
BK73,MN06,1
BK73,MN09,20
BK73,MN11,10
BK73,MN12,65
BK73,MN13,3162
BK73,MN14,127
BK73,MN15,291
BK73,MN17,1681
BK73,MN19,991
BK73,MN20,1817
BK73,MN21,664
BK73,MN22,4779
BK73,MN23,3664
BK73,MN24,7004
BK73,MN25,3890
BK73,MN27,8116
BK73,MN28,4412
BK73,MN31,304
BK73,MN32,121
BK73,MN33,17
BK73,MN34,7
BK73,MN40,170
BK73,MN50,483
BK73,QN31,4059
BK73,QN68,784
BK73,QN70,614
BK73,QN71,150
BK73,QN72,92
BK75,BK75,9892
BK75,BK76,1037
BK75,BK78,1147
BK75,BK90,2945
BK75,MN03,3
BK75,MN09,3
BK75,MN11,3
BK75,MN12,6
BK75,MN13,350
BK75,MN14,4
BK75,MN15,16
BK75,MN17,211
BK75,MN19,88
BK75,MN20,203
BK75,MN21,65
BK75,MN22,551
BK75,MN23,590
BK75,MN24,847
BK75,MN25,368
BK75,MN27,852
BK75,MN28,272
BK75,MN31,37
BK75,MN32,19
BK75,MN33,1
BK75,MN34,3
BK75,MN40,27
BK75,MN50,35
BK75,QN31,282
BK75,QN68,76
BK75,QN70,25
BK75,QN71,2
BK75,QN72,4
BK76,BK76,16467
BK76,BK78,561
BK76,BK90,8728
BK76,MN03,3
BK76,MN06,1
BK76,MN09,3
BK76,MN11,12
BK76,MN12,45
BK76,MN13,555
BK76,MN14,95
BK76,MN15,56
BK76,MN17,351
BK76,MN19,625
BK76,MN20,305
BK76,MN21,82
BK76,MN22,664
BK76,MN23,654
BK76,MN24,1308
BK76,MN25,901
BK76,MN27,1100
BK76,MN28,719
BK76,MN31,350
BK76,MN32,72
BK76,MN33,22
BK76,MN34,12
BK76,MN40,104
BK76,MN50,69
BK76,QN31,10328
BK76,QN68,839
BK76,QN70,732
BK76,QN71,187
BK76,QN72,153
BK78,BK78,309
BK78,BK90,1550
BK78,MN12,2
BK78,MN13,97
BK78,MN14,9
BK78,MN15,6
BK78,MN17,39
BK78,MN19,21
BK78,MN20,34
BK78,MN21,18
BK78,MN22,152
BK78,MN23,181
BK78,MN24,162
BK78,MN25,73
BK78,MN27,225
BK78,MN28,120
BK78,MN31,9
BK78,MN32,7
BK78,MN40,4
BK78,MN50,12
BK78,QN31,68
BK78,QN68,18
BK78,QN70,34
BK78,QN71,5
BK78,QN72,6
BK90,BK90,8261
BK90,MN06,3
BK90,MN09,1
BK90,MN11,1
BK90,MN12,11
BK90,MN13,631
BK90,MN14,28
BK90,MN15,44
BK90,MN17,284
BK90,MN19,127
BK90,MN20,453
BK90,MN21,125
BK90,MN22,864
BK90,MN23,951
BK90,MN24,1316
BK90,MN25,746
BK90,MN27,1205
BK90,MN28,702
BK90,MN31,58
BK90,MN32,20
BK90,MN34,3
BK90,MN40,20
BK90,MN50,55
BK90,QN31,875
BK90,QN68,125
BK90,QN70,154
BK90,QN71,18
BK90,QN72,21
MN03,MN03,1395
MN03,MN06,141
MN03,MN09,1724
MN03,MN11,4361
MN03,MN12,1419
MN03,MN13,387
MN03,MN14,622
MN03,MN15,205
MN03,MN17,560
MN03,MN19,167
MN03,MN20,136
MN03,MN21,9
MN03,MN22,15
MN03,MN23,102
MN03,MN24,69
MN03,MN25,18
MN03,MN27,9
MN03,MN28,5
MN03,MN31,196
MN03,MN32,332
MN03,MN33,777
MN03,MN34,2906
MN03,MN40,474
MN03,MN50,15
MN03,QN31,10
MN03,QN68,24
MN03,QN70,8
MN03,QN71,3
MN03,QN72,10
MN06,MN06,39
MN06,MN09,307
MN06,MN11,448
MN06,MN12,257
MN06,MN13,112
MN06,MN14,107
MN06,MN15,50
MN06,MN17,115
MN06,MN19,26
MN06,MN20,33
MN06,MN21,4
MN06,MN22,4
MN06,MN23,29
MN06,MN24,20
MN06,MN25,24
MN06,MN27,2
MN06,MN28,3
MN06,MN31,21
MN06,MN32,56
MN06,MN33,112
MN06,MN34,352
MN06,MN40,81
MN06,MN50,7
MN06,QN31,2
MN06,QN72,1
MN09,MN09,8908
MN09,MN11,7708
MN09,MN12,20241
MN09,MN13,4033
MN09,MN14,5530
MN09,MN15,1912
MN09,MN17,3422
MN09,MN19,516
MN09,MN20,511
MN09,MN21,114
MN09,MN22,83
MN09,MN23,951
MN09,MN24,826
MN09,MN25,628
MN09,MN27,41
MN09,MN28,19
MN09,MN31,832
MN09,MN32,1637
MN09,MN33,2474
MN09,MN34,4168
MN09,MN40,2130
MN09,MN50,55
MN09,QN31,25
MN09,QN68,34
MN09,QN70,11
MN09,QN71,6
MN09,QN72,11
MN11,MN11,10566
MN11,MN12,11455
MN11,MN13,1511
MN11,MN14,5243
MN11,MN15,981
MN11,MN17,6333
MN11,MN19,814
MN11,MN20,412
MN11,MN21,47
MN11,MN22,76
MN11,MN23,285
MN11,MN24,181
MN11,MN25,140
MN11,MN27,41
MN11,MN28,16
MN11,MN31,1040
MN11,MN32,1620
MN11,MN33,7567
MN11,MN34,11160
MN11,MN40,5494
MN11,MN50,39
MN11,QN31,22
MN11,QN68,63
MN11,QN70,12
MN11,QN71,2
MN11,QN72,15
MN12,MN12,46769
MN12,MN13,17825
MN12,MN14,45937
MN12,MN15,10804
MN12,MN17,34098
MN12,MN19,5537
MN12,MN20,3292
MN12,MN21,428
MN12,MN22,622
MN12,MN23,4354
MN12,MN24,4367
MN12,MN25,4084
MN12,MN27,380
MN12,MN28,190
MN12,MN31,6169
MN12,MN32,5294
MN12,MN33,7010
MN12,MN34,3105
MN12,MN40,19855
MN12,MN50,231
MN12,QN31,263
MN12,QN68,157
MN12,QN70,165
MN12,QN71,22
MN12,QN72,27
MN13,MN13,157394
MN13,MN14,21182
MN13,MN15,52745
MN13,MN17,116570
MN13,MN19,15110
MN13,MN20,59591
MN13,MN21,19195
MN13,MN22,34069
MN13,MN23,120846
MN13,MN24,62770
MN13,MN25,42679
MN13,MN27,14981
MN13,MN28,12267
MN13,MN31,4031
MN13,MN32,1966
MN13,MN33,985
MN13,MN34,443
MN13,MN40,4910
MN13,MN50,17466
MN13,QN31,346
MN13,QN68,368
MN13,QN70,362
MN13,QN71,76
MN13,QN72,109
MN14,MN14,28986
MN14,MN15,22246
MN14,MN17,45667
MN14,MN19,7535
MN14,MN20,4563
MN14,MN21,585
MN14,MN22,1125
MN14,MN23,5275
MN14,MN24,4949
MN14,MN25,4522
MN14,MN27,621
MN14,MN28,303
MN14,MN31,7338
MN14,MN32,3788
MN14,MN33,2532
MN14,MN34,1104
MN14,MN40,19462
MN14,MN50,554
MN14,QN31,220
MN14,QN68,355
MN14,QN70,256
MN14,QN71,58
MN14,QN72,65
MN15,MN15,22910
MN15,MN17,58652
MN15,MN19,12936
MN15,MN20,10856
MN15,MN21,1185
MN15,MN22,2524
MN15,MN23,12339
MN15,MN24,8620
MN15,MN25,8139
MN15,MN27,1459
MN15,MN28,790
MN15,MN31,3099
MN15,MN32,1328
MN15,MN33,528
MN15,MN34,344
MN15,MN40,4284
MN15,MN50,904
MN15,QN31,214
MN15,QN68,264
MN15,QN70,339
MN15,QN71,74
MN15,QN72,31
MN17,MN17,93470
MN17,MN19,49797
MN17,MN20,77357
MN17,MN21,9508
MN17,MN22,14262
MN17,MN23,35369
MN17,MN24,17979
MN17,MN25,8263
MN17,MN27,6635
MN17,MN28,6269
MN17,MN31,14584
MN17,MN32,6503
MN17,MN33,4069
MN17,MN34,1492
MN17,MN40,30847
MN17,MN50,8944
MN17,QN31,868
MN17,QN68,1303
MN17,QN70,1250
MN17,QN71,233
MN17,QN72,137
MN19,MN19,16703
MN19,MN20,25274
MN19,MN21,3244
MN19,MN22,6017
MN19,MN23,4793
MN19,MN24,3161
MN19,MN25,4253
MN19,MN27,3035
MN19,MN28,4281
MN19,MN31,18022
MN19,MN32,7817
MN19,MN33,1532
MN19,MN34,572
MN19,MN40,8742
MN19,MN50,5054
MN19,QN31,1170
MN19,QN68,1522
MN19,QN70,1323
MN19,QN71,204
MN19,QN72,281
MN20,MN20,32790
MN20,MN21,12633
MN20,MN22,19236
MN20,MN23,23326
MN20,MN24,12877
MN20,MN25,7743
MN20,MN27,8974
MN20,MN28,8561
MN20,MN31,8775
MN20,MN32,3782
MN20,MN33,777
MN20,MN34,431
MN20,MN40,4378
MN20,MN50,15246
MN20,QN31,450
MN20,QN68,664
MN20,QN70,719
MN20,QN71,126
MN20,QN72,94
MN21,MN21,2866
MN21,MN22,9520
MN21,MN23,11608
MN21,MN24,5714
MN21,MN25,2282
MN21,MN27,4084
MN21,MN28,4253
MN21,MN31,967
MN21,MN32,446
MN21,MN33,69
MN21,MN34,61
MN21,MN40,538
MN21,MN50,7197
MN21,QN31,94
MN21,QN68,113
MN21,QN70,113
MN21,QN71,12
MN21,QN72,6
MN22,MN22,27335
MN22,MN23,60268
MN22,MN24,29344
MN22,MN25,11529
MN22,MN27,23940
MN22,MN28,26120
MN22,MN31,1656
MN22,MN32,803
MN22,MN33,165
MN22,MN34,91
MN22,MN40,869
MN22,MN50,9766
MN22,QN31,171
MN22,QN68,171
MN22,QN70,110
MN22,QN71,25
MN22,QN72,9
MN23,MN23,81251
MN23,MN24,82685
MN23,MN25,36173
MN23,MN27,24114
MN23,MN28,21273
MN23,MN31,1632
MN23,MN32,711
MN23,MN33,242
MN23,MN34,108
MN23,MN40,1486
MN23,MN50,9995
MN23,QN31,183
MN23,QN68,232
MN23,QN70,140
MN23,QN71,38
MN23,QN72,22
MN24,MN24,73210
MN24,MN25,77239
MN24,MN27,43406
MN24,MN28,23757
MN24,MN31,1179
MN24,MN32,483
MN24,MN33,152
MN24,MN34,63
MN24,MN40,1128
MN24,MN50,4432
MN24,QN31,103
MN24,QN68,93
MN24,QN70,76
MN24,QN71,11
MN24,QN72,9
MN25,MN25,69105
MN25,MN27,30434
MN25,MN28,20973
MN25,MN31,787
MN25,MN32,344
MN25,MN33,55
MN25,MN34,49
MN25,MN40,574
MN25,MN50,3740
MN25,QN31,226
MN25,QN68,72
MN25,QN70,71
MN25,QN71,15
MN25,QN72,7
MN27,MN27,21975
MN27,MN28,34189
MN27,MN31,1041
MN27,MN32,369
MN27,MN33,140
MN27,MN34,38
MN27,MN40,416
MN27,MN50,4145
MN27,QN31,139
MN27,QN68,92
MN27,QN70,55
MN27,QN71,11
MN27,QN72,2
MN28,MN28,19513
MN28,MN31,816
MN28,MN32,247
MN28,MN33,57
MN28,MN34,28
MN28,MN40,233
MN28,MN50,5372
MN28,QN31,132
MN28,QN68,101
MN28,QN70,33
MN28,QN71,10
MN28,QN72,8
MN31,MN31,11595
MN31,MN32,19418
MN31,MN33,3528
MN31,MN34,2369
MN31,MN40,13893
MN31,MN50,1050
MN31,QN31,1192
MN31,QN68,1578
MN31,QN70,889
MN31,QN71,313
MN31,QN72,197
MN32,MN32,12062
MN32,MN33,13774
MN32,MN34,7393
MN32,MN40,11455
MN32,MN50,453
MN32,QN31,363
MN32,QN68,329
MN32,QN70,280
MN32,QN71,38
MN32,QN72,108
MN33,MN33,8550
MN33,MN34,9376
MN33,MN40,5454
MN33,MN50,142
MN33,QN31,55
MN33,QN68,71
MN33,QN70,65
MN33,QN71,38
MN33,QN72,73
MN34,MN34,9432
MN34,MN40,1929
MN34,MN50,64
MN34,QN31,14
MN34,QN68,61
MN34,QN70,27
MN34,QN71,10
MN34,QN72,27
MN40,MN40,18063
MN40,MN50,461
MN40,QN31,311
MN40,QN68,469
MN40,QN70,255
MN40,QN71,68
MN40,QN72,41
MN50,MN50,5555
MN50,QN31,78
MN50,QN68,96
MN50,QN70,87
MN50,QN71,28
MN50,QN72,5
QN31,QN31,16757
QN31,QN68,6995
QN31,QN70,4989
QN31,QN71,1702
QN31,QN72,1068
QN68,QN68,5039
QN68,QN70,10464
QN68,QN71,2346
QN68,QN72,1609
QN70,QN70,16386
QN70,QN71,8480
QN70,QN72,6742
QN71,QN71,3211
QN71,QN72,3468
QN72,QN72,7787
